timestamp,gpu_usage_percent,vram_used_mib,temp_celsius,power_watts
2025-09-05 11:48:32,59,132155,63,551.36
2025-09-05 11:48:33,0,132155,57,137.90
2025-09-05 11:48:34,0,132155,55,136.14
2025-09-05 11:48:36,0,132155,54,135.03
2025-09-05 11:48:38,0,132155,53,134.29
2025-09-05 11:48:40,0,132155,53,133.57
2025-09-05 11:48:42,0,132155,52,133.03
2025-09-05 11:48:44,0,132155,52,132.51
2025-09-05 11:48:46,0,132155,51,132.14
2025-09-05 11:48:48,0,132155,51,131.78
2025-09-05 11:48:50,0,132155,50,131.55
2025-09-05 11:48:51,0,132155,50,131.39
2025-09-05 11:48:53,100,132155,64,685.68
2025-09-05 11:48:55,100,132155,67,698.32
2025-09-05 11:48:57,100,132155,68,684.47
2025-09-05 11:48:59,100,132155,69,687.42
2025-09-05 11:49:01,100,132155,70,692.00
2025-09-05 11:49:03,100,132155,71,689.86
2025-09-05 11:49:05,100,132155,72,682.84
2025-09-05 11:49:07,100,132155,72,684.30
2025-09-05 11:49:09,100,132155,73,683.79
2025-09-05 11:49:11,100,132155,73,682.68
2025-09-05 11:49:13,100,132155,73,683.08
2025-09-05 11:49:15,100,132155,74,678.85
2025-09-05 11:49:17,100,132155,73,675.59
2025-09-05 11:49:19,100,132155,73,680.99
2025-09-05 11:49:21,100,132155,73,683.63
2025-09-05 11:49:22,100,132155,73,571.99
2025-09-05 11:49:24,100,132155,73,686.99
2025-09-05 11:49:26,100,132155,73,685.17
2025-09-05 11:49:28,100,132155,73,680.95
2025-09-05 11:49:30,94,132155,66,638.39
2025-09-05 11:49:32,94,132155,65,634.93
2025-09-05 11:49:34,92,132155,65,634.74
2025-09-05 11:49:36,94,132155,65,639.20
2025-09-05 11:49:38,94,132155,65,633.99
2025-09-05 11:49:40,94,132155,64,637.13
2025-09-05 11:49:42,94,132155,64,636.31
2025-09-05 11:49:44,92,132155,64,636.01
2025-09-05 11:49:46,92,132155,64,636.62
2025-09-05 11:49:48,94,132155,64,639.22
2025-09-05 11:49:50,94,132155,65,638.73
2025-09-05 11:49:52,93,132155,65,638.54
2025-09-05 11:49:54,94,132155,65,641.06
2025-09-05 11:49:56,94,132155,65,637.79
2025-09-05 11:49:58,94,132155,65,639.47
2025-09-05 11:50:00,92,132155,66,635.64
2025-09-05 11:50:02,94,132155,66,640.33
2025-09-05 11:50:04,94,132155,66,639.13
2025-09-05 11:50:06,94,132155,66,640.15
2025-09-05 11:50:08,94,132155,66,639.84
2025-09-05 11:50:10,93,132155,66,636.01
2025-09-05 11:50:12,93,132155,66,639.66
2025-09-05 11:50:14,91,132155,66,640.10
2025-09-05 11:50:16,93,132155,66,638.38
2025-09-05 11:50:18,100,132155,71,662.36
2025-09-05 11:50:20,95,132155,71,690.77
2025-09-05 11:50:22,96,132155,73,692.52
2025-09-05 11:50:24,95,132155,73,684.37
2025-09-05 11:50:26,100,132155,72,683.82
2025-09-05 11:50:28,100,132155,73,690.75
2025-09-05 11:50:30,100,132155,73,680.70
2025-09-05 11:50:32,100,132155,73,686.06
2025-09-05 11:50:34,100,132155,73,686.54
2025-09-05 11:50:36,100,132155,74,684.18
2025-09-05 11:50:38,100,132155,73,685.47
2025-09-05 11:50:40,100,132155,73,683.17
2025-09-05 11:50:42,100,132155,74,685.90
2025-09-05 11:50:44,100,132155,73,684.09
2025-09-05 11:50:46,100,132155,73,680.39
2025-09-05 11:50:48,100,132155,72,679.05
2025-09-05 11:50:50,100,132155,72,686.45
2025-09-05 11:50:52,100,132155,72,682.15
