timestamp,gpu_usage_percent,vram_used_mib,temp_celsius,power_watts
2025-09-04 09:12:27,0,135811,50,130.63
2025-09-04 09:12:29,0,135811,50,130.59
2025-09-04 09:12:31,0,135811,50,130.57
2025-09-04 09:12:33,0,135811,49,130.53
2025-09-04 09:12:35,0,135811,49,130.53
2025-09-04 09:12:36,0,135811,49,130.42
2025-09-04 09:12:38,0,135811,49,130.49
2025-09-04 09:12:40,0,135811,49,130.35
2025-09-04 09:12:42,100,138979,50,131.99
2025-09-04 09:12:44,100,138979,63,681.64
2025-09-04 09:12:46,100,138979,65,649.69
2025-09-04 09:12:48,100,138979,66,625.01
2025-09-04 09:12:50,100,138979,67,650.68
2025-09-04 09:12:52,91,138979,60,547.93
2025-09-04 09:12:54,91,138979,59,428.11
2025-09-04 09:12:56,90,138979,59,417.59
2025-09-04 09:12:58,90,138979,59,429.34
2025-09-04 09:13:00,90,138979,59,423.86
2025-09-04 09:13:01,90,138979,60,418.15
2025-09-04 09:13:03,88,138979,60,424.54
2025-09-04 09:13:05,85,138979,60,421.95
2025-09-04 09:13:07,90,138979,60,423.83
2025-09-04 09:13:09,91,138979,60,427.06
2025-09-04 09:13:11,90,138979,60,432.49
2025-09-04 09:13:13,89,138979,60,308.99
2025-09-04 09:13:15,90,138979,61,431.25
2025-09-04 09:13:17,89,138979,61,427.64
2025-09-04 09:13:19,88,138979,61,430.71
2025-09-04 09:13:21,88,138979,61,437.26
2025-09-04 09:13:23,89,138979,61,425.93
2025-09-04 09:13:25,89,138979,62,427.45
2025-09-04 09:13:27,91,138979,62,430.27
2025-09-04 09:13:29,90,138979,62,434.22
2025-09-04 09:13:30,91,138979,62,433.24
2025-09-04 09:13:32,91,138979,62,430.87
