timestamp,gpu_usage_percent,vram_used_mib,temp_celsius,power_watts
2025-09-03 15:32:19,0,131957,59,523.99
2025-09-03 15:32:20,0,131957,56,138.78
2025-09-03 15:32:21,0,131957,55,137.54
2025-09-03 15:32:22,0,131957,54,136.29
2025-09-03 15:32:24,0,131957,53,134.71
2025-09-03 15:32:25,0,131957,53,134.15
2025-09-03 15:32:26,0,131957,52,133.62
2025-09-03 15:32:27,0,131957,52,133.19
2025-09-03 15:32:28,0,131957,51,132.81
2025-09-03 15:32:29,0,131957,51,132.31
2025-09-03 15:32:30,0,131957,51,132.14
2025-09-03 15:32:32,0,131957,50,131.76
2025-09-03 15:32:33,0,131957,50,131.55
2025-09-03 15:32:34,0,131957,49,131.17
2025-09-03 15:32:35,0,131957,49,130.92
2025-09-03 15:32:36,0,131957,49,130.70
2025-09-03 15:32:37,0,131957,49,130.59
2025-09-03 15:32:38,0,131957,49,130.50
2025-09-03 15:32:40,0,131957,48,130.23
2025-09-03 15:32:41,0,131957,48,130.20
2025-09-03 15:32:42,0,131957,48,130.22
2025-09-03 15:32:43,0,131957,48,129.90
2025-09-03 15:32:44,0,131957,48,129.93
2025-09-03 15:32:45,0,131957,48,129.55
2025-09-03 15:32:46,0,131957,48,129.93
2025-09-03 15:32:48,0,131957,47,129.45
2025-09-03 15:32:49,0,131957,47,129.53
2025-09-03 15:32:50,0,131957,47,129.43
2025-09-03 15:32:51,0,131957,47,129.20
2025-09-03 15:32:52,0,131957,47,129.01
2025-09-03 15:32:53,0,131957,46,128.46
2025-09-03 15:32:54,0,131957,46,128.80
2025-09-03 15:32:56,0,131957,46,128.70
2025-09-03 15:32:57,0,131957,46,128.39
2025-09-03 15:32:58,0,131957,45,128.24
2025-09-03 15:32:59,0,131957,45,128.00
2025-09-03 15:33:00,0,131957,45,127.79
2025-09-03 15:33:01,0,131957,45,127.68
2025-09-03 15:33:02,0,131957,45,127.49
2025-09-03 15:33:04,0,131957,44,127.37
2025-09-03 15:33:05,0,131957,44,127.22
2025-09-03 15:33:06,0,131957,44,127.13
2025-09-03 15:33:07,0,131957,44,127.01
2025-09-03 15:33:08,0,131957,44,126.93
2025-09-03 15:33:09,0,131957,44,126.80
2025-09-03 15:33:10,0,131957,43,126.71
2025-09-03 15:33:12,0,131957,43,126.65
2025-09-03 15:33:13,0,131957,43,126.54
2025-09-03 15:33:14,0,131957,43,126.41
2025-09-03 15:33:15,0,131957,43,126.33
2025-09-03 15:33:16,0,131957,43,126.30
2025-09-03 15:33:17,34,131957,44,141.85
2025-09-03 15:33:18,24,131957,44,156.87
2025-09-03 15:33:20,11,131957,43,156.47
2025-09-03 15:33:21,18,131957,43,156.44
2025-09-03 15:33:22,30,131957,43,156.28
2025-09-03 15:33:23,23,131957,43,143.50
2025-09-03 15:33:24,29,131957,43,156.08
2025-09-03 15:33:26,33,131957,43,156.01
2025-09-03 15:33:27,33,131957,43,155.88
2025-09-03 15:33:28,33,131957,42,155.72
2025-09-03 15:33:29,33,131957,42,155.72
2025-09-03 15:33:30,25,131957,42,155.58
2025-09-03 15:33:31,29,131957,42,155.49
2025-09-03 15:33:33,23,131957,42,155.37
2025-09-03 15:33:34,96,131957,49,457.40
2025-09-03 15:33:35,95,131957,51,628.79
2025-09-03 15:33:36,96,131957,51,628.15
2025-09-03 15:33:37,95,131957,52,628.77
2025-09-03 15:33:38,95,131957,52,628.57
2025-09-03 15:33:40,95,131957,53,628.86
2025-09-03 15:33:41,96,131957,54,629.09
2025-09-03 15:33:42,95,131957,54,631.37
2025-09-03 15:33:43,96,131957,54,631.54
2025-09-03 15:33:44,95,131957,55,631.86
2025-09-03 15:33:46,96,131957,55,633.99
2025-09-03 15:33:47,95,131957,56,632.55
2025-09-03 15:33:48,95,131957,56,635.90
2025-09-03 15:33:49,96,131957,56,636.64
2025-09-03 15:33:50,95,131957,57,633.66
2025-09-03 15:33:51,96,131957,57,633.47
2025-09-03 15:33:53,95,131957,57,636.56
2025-09-03 15:33:54,95,131957,57,637.80
2025-09-03 15:33:55,96,131957,58,635.69
2025-09-03 15:33:56,95,131957,58,635.64
2025-09-03 15:33:57,95,131957,58,636.84
2025-09-03 15:33:59,96,131957,58,638.01
2025-09-03 15:34:00,96,131957,59,635.81
2025-09-03 15:34:01,95,131957,59,636.20
2025-09-03 15:34:02,95,131957,59,639.49
2025-09-03 15:34:03,95,131957,59,639.24
2025-09-03 15:34:04,96,131957,59,636.76
2025-09-03 15:34:06,96,131957,60,639.81
2025-09-03 15:34:07,11,131957,51,162.44
2025-09-03 15:34:08,12,131957,50,161.24
