timestamp,gpu_usage_percent,vram_used_mib,temp_celsius,power_watts
2025-09-04 09:13:35,0,138979,57,212.83
2025-09-04 09:13:36,0,138979,56,137.60
2025-09-04 09:13:38,0,138979,56,136.83
2025-09-04 09:13:40,0,138979,55,136.28
2025-09-04 09:13:42,91,138979,61,432.38
2025-09-04 09:13:44,89,138979,61,429.04
2025-09-04 09:13:46,91,138979,61,435.54
2025-09-04 09:13:48,91,138979,62,436.53
2025-09-04 09:13:50,89,138979,62,431.53
2025-09-04 09:13:52,90,138979,63,435.75
2025-09-04 09:13:54,83,138979,63,426.31
2025-09-04 09:13:56,91,138979,63,433.99
2025-09-04 09:13:58,90,138979,63,428.43
2025-09-04 09:13:59,90,138979,63,431.27
2025-09-04 09:14:01,1,138979,59,363.11
2025-09-04 09:14:03,90,138979,63,431.44
2025-09-04 09:14:05,90,138979,63,429.31
2025-09-04 09:14:07,90,138979,64,433.34
2025-09-04 09:14:09,90,138979,64,432.17
2025-09-04 09:14:11,100,138979,70,541.20
2025-09-04 09:14:13,100,138979,71,647.23
2025-09-04 09:14:15,100,138979,72,660.22
2025-09-04 09:14:17,100,138979,74,650.88
2025-09-04 09:14:19,100,138979,75,653.33
2025-09-04 09:14:21,92,138979,68,518.47
2025-09-04 09:14:23,90,138979,68,493.95
2025-09-04 09:14:25,91,138979,68,489.89
2025-09-04 09:14:27,91,138979,68,496.72
2025-09-04 09:14:29,91,138979,67,492.49
2025-09-04 09:14:30,92,138979,67,495.28
2025-09-04 09:14:32,91,138979,67,483.89
2025-09-04 09:14:34,85,138979,65,436.40
2025-09-04 09:14:36,90,138979,65,443.88
2025-09-04 09:14:38,90,138979,65,433.28
2025-09-04 09:14:40,86,138979,66,439.51
2025-09-04 09:14:42,90,138979,66,411.81
