timestamp,gpu_usage_percent,vram_used_mib,temp_celsius,power_watts
2025-09-03 19:44:44,0,131503,60,379.27
2025-09-03 19:44:45,0,131503,58,140.52
2025-09-03 19:44:47,0,131503,57,139.48
2025-09-03 19:44:48,0,131503,56,138.59
2025-09-03 19:44:49,0,131503,55,137.88
2025-09-03 19:44:50,0,131503,55,137.30
2025-09-03 19:44:51,0,131503,54,135.88
2025-09-03 19:44:52,0,131503,54,134.48
2025-09-03 19:44:53,82,131503,57,256.15
2025-09-03 19:44:55,87,131503,57,350.85
2025-09-03 19:44:56,88,131503,57,353.64
2025-09-03 19:44:57,87,131503,57,352.81
2025-09-03 19:44:58,87,131503,57,356.38
2025-09-03 19:44:59,87,131503,57,355.46
2025-09-03 19:45:00,87,131503,57,353.56
2025-09-03 19:45:02,86,131503,57,351.61
2025-09-03 19:45:03,87,131503,57,350.99
2025-09-03 19:45:04,86,131503,57,350.85
2025-09-03 19:45:05,87,131503,57,355.43
2025-09-03 19:45:06,87,131503,57,354.36
2025-09-03 19:45:07,87,131503,57,353.43
2025-09-03 19:45:08,88,131503,57,354.11
2025-09-03 19:45:10,99,131503,63,409.16
2025-09-03 19:45:11,100,131503,67,679.04
2025-09-03 19:45:12,100,131503,68,685.81
2025-09-03 19:45:13,97,131503,69,692.88
2025-09-03 19:45:14,100,131503,70,686.59
2025-09-03 19:45:15,100,131503,70,682.64
2025-09-03 19:45:16,100,131503,69,644.48
2025-09-03 19:45:18,100,131503,70,686.50
2025-09-03 19:45:19,100,131503,71,688.94
2025-09-03 19:45:20,100,131503,71,690.50
2025-09-03 19:45:21,100,131503,72,688.98
2025-09-03 19:45:22,100,131503,69,625.47
2025-09-03 19:45:23,100,131503,71,690.96
2025-09-03 19:45:24,97,131503,72,688.89
2025-09-03 19:45:26,100,131503,73,686.45
2025-09-03 19:45:27,100,131503,73,685.89
2025-09-03 19:45:28,100,131503,73,675.59
2025-09-03 19:45:29,100,131503,72,651.50
2025-09-03 19:45:30,100,131503,73,687.28
2025-09-03 19:45:31,100,131503,73,692.55
2025-09-03 19:45:33,100,131503,73,689.90
2025-09-03 19:45:34,100,131503,74,686.92
2025-09-03 19:45:35,100,131503,71,632.54
2025-09-03 19:45:36,100,131503,73,683.61
2025-09-03 19:45:37,100,131503,73,686.23
2025-09-03 19:45:38,98,131503,73,690.22
2025-09-03 19:45:39,100,131503,74,691.77
2025-09-03 19:45:41,100,131503,73,685.00
2025-09-03 19:45:42,100,131503,72,655.01
2025-09-03 19:45:43,100,131503,74,687.51
2025-09-03 19:45:44,100,131503,73,690.61
2025-09-03 19:45:45,100,131503,74,688.40
2025-09-03 19:45:46,97,131503,74,693.57
2025-09-03 19:45:47,100,131503,71,650.51
2025-09-03 19:45:49,100,131503,70,520.28
2025-09-03 19:45:50,97,131503,72,691.52
2025-09-03 19:45:51,100,131503,73,691.88
2025-09-03 19:45:52,100,131503,72,689.89
2025-09-03 19:45:53,100,131503,73,686.92
2025-09-03 19:45:54,98,131503,70,653.36
2025-09-03 19:45:55,100,131503,72,688.56
2025-09-03 19:45:57,100,131503,73,688.99
2025-09-03 19:45:58,100,131503,73,690.84
2025-09-03 19:45:59,100,131503,74,692.07
2025-09-03 19:46:00,100,131503,73,689.43
2025-09-03 19:46:01,94,131503,69,637.37
2025-09-03 19:46:02,95,131503,69,674.29
2025-09-03 19:46:04,95,131503,69,672.09
2025-09-03 19:46:05,94,131503,69,668.43
2025-09-03 19:46:06,95,131503,69,669.42
2025-09-03 19:46:07,94,131503,69,672.03
2025-09-03 19:46:08,94,131503,69,673.00
2025-09-03 19:46:09,94,131503,69,671.06
2025-09-03 19:46:10,94,131503,69,672.55
2025-09-03 19:46:12,93,131503,69,674.50
2025-09-03 19:46:13,94,131503,69,671.12
2025-09-03 19:46:14,95,131503,69,672.81
2025-09-03 19:46:15,94,131503,69,672.96
2025-09-03 19:46:16,96,131503,69,675.83
2025-09-03 19:46:18,94,131503,69,673.70
2025-09-03 19:46:19,95,131503,69,675.67
2025-09-03 19:46:20,94,131503,69,674.03
2025-09-03 19:46:21,94,131503,69,672.71
2025-09-03 19:46:22,96,131503,69,674.79
2025-09-03 19:46:23,93,131503,69,672.27
2025-09-03 19:46:25,94,131503,69,676.29
2025-09-03 19:46:26,94,131503,69,678.35
2025-09-03 19:46:27,94,131503,69,670.59
2025-09-03 19:46:28,94,131503,69,675.02
2025-09-03 19:46:29,94,131503,69,673.19
2025-09-03 19:46:30,94,131503,69,670.97
2025-09-03 19:46:32,94,131503,69,673.51
2025-09-03 19:46:33,95,131503,69,676.27
2025-09-03 19:46:34,95,131503,69,671.44
2025-09-03 19:46:35,95,131503,69,675.20
2025-09-03 19:46:36,94,131503,69,675.90
2025-09-03 19:46:37,95,131503,69,673.91
2025-09-03 19:46:39,95,131503,69,672.41
2025-09-03 19:46:40,94,131503,68,624.12
