timestamp,gpu_usage_percent,vram_used_mib,temp_celsius,power_watts
2025-09-05 11:39:59,0,132155,59,437.54
2025-09-05 11:40:00,0,132155,57,139.37
2025-09-05 11:40:02,0,132155,55,137.78
2025-09-05 11:40:04,0,132155,54,136.65
2025-09-05 11:40:06,0,132155,53,134.99
2025-09-05 11:40:08,0,132155,52,133.21
2025-09-05 11:40:10,0,132155,52,132.52
2025-09-05 11:40:12,12,132155,59,207.42
2025-09-05 11:40:14,100,132155,64,692.69
2025-09-05 11:40:16,100,132155,67,695.59
2025-09-05 11:40:18,100,132155,67,689.81
2025-09-05 11:40:20,100,132155,69,689.34
2025-09-05 11:40:22,100,132155,70,690.11
2025-09-05 11:40:23,100,132155,70,690.31
2025-09-05 11:40:25,100,132155,71,682.78
2025-09-05 11:40:27,100,132155,71,686.68
2025-09-05 11:40:29,100,132155,71,688.13
2025-09-05 11:40:31,100,132155,72,682.88
2025-09-05 11:40:33,100,132155,71,683.10
2025-09-05 11:40:35,100,132155,72,678.63
2025-09-05 11:40:37,100,132155,72,677.33
2025-09-05 11:40:39,100,132155,72,684.21
2025-09-05 11:40:41,100,132155,72,679.38
2025-09-05 11:40:43,100,132155,71,684.23
2025-09-05 11:40:45,100,132155,71,681.01
2025-09-05 11:40:47,100,132155,72,685.65
2025-09-05 11:40:49,100,132155,72,678.98
2025-09-05 11:40:51,91,132155,65,634.88
2025-09-05 11:40:53,93,132155,64,635.86
2025-09-05 11:40:55,93,132155,64,631.31
2025-09-05 11:40:57,92,132155,64,628.48
2025-09-05 11:40:59,94,132155,63,634.99
2025-09-05 11:41:01,93,132155,63,627.96
2025-09-05 11:41:03,94,132155,63,634.94
2025-09-05 11:41:05,91,132155,63,633.99
2025-09-05 11:41:07,93,132155,63,632.57
2025-09-05 11:41:09,91,132155,63,633.50
2025-09-05 11:41:11,93,132155,64,635.19
2025-09-05 11:41:13,92,132155,64,629.02
2025-09-05 11:41:15,93,132155,64,633.99
2025-09-05 11:41:17,93,132155,64,634.93
2025-09-05 11:41:19,91,132155,64,637.61
2025-09-05 11:41:21,93,132155,65,636.36
2025-09-05 11:41:23,93,132155,65,634.50
2025-09-05 11:41:25,93,132155,65,639.00
2025-09-05 11:41:27,94,132155,65,639.63
2025-09-05 11:41:29,92,132155,65,633.59
2025-09-05 11:41:31,93,132155,65,635.88
2025-09-05 11:41:33,91,132155,65,636.51
2025-09-05 11:41:35,93,132155,65,638.67
2025-09-05 11:41:37,89,132155,64,615.67
2025-09-05 11:41:39,91,132155,72,693.27
2025-09-05 11:41:41,100,132155,72,690.97
2025-09-05 11:41:43,100,132155,72,683.97
2025-09-05 11:41:45,100,132155,73,684.04
2025-09-05 11:41:46,100,132155,73,690.80
2025-09-05 11:41:48,100,132155,73,689.43
2025-09-05 11:41:50,100,132155,73,686.97
2025-09-05 11:41:52,100,132155,73,677.54
2025-09-05 11:41:54,100,132155,74,685.63
2025-09-05 11:41:56,100,132155,73,686.75
2025-09-05 11:41:58,100,132155,74,680.02
2025-09-05 11:42:00,100,132155,74,688.12
2025-09-05 11:42:02,100,132155,74,674.49
2025-09-05 11:42:04,100,132155,74,683.88
2025-09-05 11:42:06,100,132155,74,680.26
2025-09-05 11:42:08,100,132155,74,680.38
2025-09-05 11:42:10,100,132155,74,686.51
2025-09-05 11:42:12,100,132155,74,685.25
2025-09-05 11:42:14,100,132155,73,687.73
2025-09-05 11:42:16,0,132155,59,142.12
2025-09-05 11:42:18,100,132155,69,695.02
2025-09-05 11:42:20,99,132155,68,298.74
2025-09-05 11:42:22,100,132155,69,703.43
2025-09-05 11:42:24,100,132155,71,686.03
2025-09-05 11:42:26,100,132155,71,690.98
2025-09-05 11:42:28,100,132155,71,688.97
2025-09-05 11:42:29,100,132155,71,687.62
2025-09-05 11:42:31,100,132155,70,679.77
2025-09-05 11:42:33,100,132155,70,669.18
2025-09-05 11:42:35,100,132155,71,685.94
2025-09-05 11:42:37,100,132155,70,682.33
2025-09-05 11:42:39,100,132155,70,684.34
2025-09-05 11:42:41,100,132155,69,685.85
2025-09-05 11:42:43,0,132155,56,291.07
2025-09-05 11:42:45,0,132155,53,134.62
2025-09-05 11:42:47,80,132155,58,556.80
2025-09-05 11:42:49,79,132155,59,564.29
