timestamp,gpu_usage_percent,vram_used_mib,temp_celsius,power_watts
2025-09-04 01:35:36,0,139103,60,454.56
2025-09-04 01:35:37,0,139103,57,138.22
2025-09-04 01:35:39,0,139103,56,137.41
2025-09-04 01:35:41,0,139103,55,136.35
2025-09-04 01:35:43,0,139103,54,135.43
2025-09-04 01:35:45,0,139103,53,134.70
2025-09-04 01:35:46,0,139103,53,134.11
2025-09-04 01:35:48,0,139103,52,132.89
2025-09-04 01:35:50,88,139103,57,428.16
2025-09-04 01:35:52,89,139103,58,426.27
2025-09-04 01:35:54,89,139103,59,432.54
2025-09-04 01:35:56,90,139103,59,424.40
2025-09-04 01:35:58,91,139103,59,430.48
2025-09-04 01:36:00,90,139103,60,434.18
2025-09-04 01:36:02,89,139103,60,431.81
2025-09-04 01:36:04,89,139103,61,436.15
2025-09-04 01:36:06,89,139103,61,433.29
2025-09-04 01:36:08,89,139103,61,435.93
2025-09-04 01:36:10,0,139103,57,363.67
2025-09-04 01:36:12,0,139103,55,136.69
2025-09-04 01:36:14,0,139103,55,135.91
2025-09-04 01:36:16,0,139103,54,135.41
2025-09-04 01:36:18,0,139103,54,135.07
2025-09-04 01:36:19,0,139103,54,134.86
2025-09-04 01:36:21,100,139103,66,656.22
2025-09-04 01:36:23,100,139103,68,667.05
2025-09-04 01:36:25,81,139103,70,651.06
2025-09-04 01:36:27,80,139103,71,663.65
2025-09-04 01:36:29,92,139103,74,659.81
2025-09-04 01:36:31,100,139103,70,586.85
2025-09-04 01:36:33,100,139103,72,653.69
2025-09-04 01:36:35,100,139103,73,659.54
2025-09-04 01:36:37,100,139103,73,663.90
2025-09-04 01:36:39,100,139103,74,660.69
2025-09-04 01:36:41,75,139103,61,199.80
2025-09-04 01:36:43,100,139103,72,659.47
2025-09-04 01:36:45,100,139103,73,667.98
2025-09-04 01:36:47,100,139103,74,658.78
2025-09-04 01:36:49,100,139103,75,665.11
2025-09-04 01:36:51,100,139103,74,598.71
2025-09-04 01:36:53,100,139103,73,665.50
2025-09-04 01:36:55,100,139103,74,663.17
2025-09-04 01:36:56,100,139103,74,657.17
2025-09-04 01:36:58,69,139103,75,657.57
2025-09-04 01:37:00,100,139103,75,661.95
2025-09-04 01:37:02,88,139103,73,666.50
2025-09-04 01:37:04,100,139103,74,661.03
2025-09-04 01:37:06,100,139103,74,664.53
2025-09-04 01:37:08,100,139103,75,659.01
2025-09-04 01:37:10,100,139103,73,609.10
2025-09-04 01:37:12,100,139103,73,667.60
2025-09-04 01:37:14,100,139103,72,656.38
2025-09-04 01:37:16,93,139103,74,667.53
2025-09-04 01:37:18,100,139103,74,660.34
2025-09-04 01:37:20,100,139103,75,665.41
2025-09-04 01:37:22,100,139103,72,667.42
2025-09-04 01:37:24,100,139103,74,659.70
2025-09-04 01:37:26,100,139103,74,662.39
2025-09-04 01:37:28,79,139103,74,647.15
2025-09-04 01:37:30,100,139103,75,676.10
2025-09-04 01:37:32,96,139103,72,512.70
2025-09-04 01:37:34,100,139103,73,665.03
2025-09-04 01:37:36,100,139103,73,658.49
2025-09-04 01:37:38,100,139103,69,659.06
2025-09-04 01:37:40,100,139103,74,664.33
2025-09-04 01:37:42,100,139103,72,643.29
2025-09-04 01:37:43,100,139103,72,669.74
2025-09-04 01:37:45,100,139103,73,669.48
2025-09-04 01:37:47,100,139103,73,659.70
2025-09-04 01:37:49,100,139103,73,659.21
2025-09-04 01:37:51,85,139103,72,667.70
2025-09-04 01:37:53,100,139103,72,671.90
2025-09-04 01:37:55,100,139103,72,661.10
2025-09-04 01:37:57,100,139103,73,663.40
2025-09-04 01:37:59,100,139103,73,659.57
2025-09-04 01:38:01,100,139103,72,653.52
2025-09-04 01:38:03,100,139103,71,661.06
2025-09-04 01:38:05,100,139103,72,657.72
2025-09-04 01:38:07,78,139103,73,652.40
2025-09-04 01:38:09,100,139103,74,663.74
2025-09-04 01:38:11,100,139103,73,647.42
2025-09-04 01:38:13,89,139103,73,652.54
2025-09-04 01:38:15,100,139103,73,656.28
2025-09-04 01:38:17,75,139103,73,654.18
2025-09-04 01:38:19,69,139103,67,612.52
2025-09-04 01:38:21,76,139103,72,660.36
2025-09-04 01:38:23,100,139103,73,660.18
2025-09-04 01:38:25,100,139103,65,630.58
2025-09-04 01:38:26,100,139103,70,513.98
2025-09-04 01:38:28,93,139103,71,660.56
2025-09-04 01:38:30,100,139103,72,663.71
2025-09-04 01:38:32,97,139103,67,660.88
2025-09-04 01:38:34,100,139103,72,663.74
2025-09-04 01:38:36,100,139103,70,638.04
2025-09-04 01:38:38,100,139103,71,672.50
2025-09-04 01:38:40,82,139103,72,655.84
2025-09-04 01:38:42,100,139103,72,664.49
2025-09-04 01:38:44,100,139103,71,652.05
2025-09-04 01:38:46,89,139103,70,667.06
2025-09-04 01:38:48,100,139103,71,666.95
2025-09-04 01:38:50,100,139103,71,667.95
2025-09-04 01:38:52,72,139103,68,531.66
2025-09-04 01:38:54,71,139103,65,524.64
2025-09-04 01:38:56,72,139103,66,522.41
2025-09-04 01:38:58,73,139103,65,503.52
2025-09-04 01:39:00,65,139103,65,512.99
2025-09-04 01:39:02,74,139103,65,502.87
2025-09-04 01:39:04,67,139103,64,511.02
2025-09-04 01:39:06,71,139103,61,512.07
2025-09-04 01:39:08,75,139103,64,516.35
2025-09-04 01:39:09,73,139103,64,509.44
2025-09-04 01:39:11,75,139103,62,500.02
2025-09-04 01:39:13,60,139103,63,508.47
2025-09-04 01:39:15,73,139103,60,514.89
2025-09-04 01:39:17,74,139103,64,503.64
2025-09-04 01:39:19,75,139103,63,510.44
2025-09-04 01:39:21,68,139103,64,507.99
2025-09-04 01:39:23,75,139103,62,516.35
2025-09-04 01:39:25,74,139103,63,510.70
2025-09-04 01:39:27,74,139103,61,495.93
2025-09-04 01:39:29,75,139103,61,503.83
2025-09-04 01:39:31,66,139103,62,498.02
2025-09-04 01:39:33,72,139103,64,516.69
2025-09-04 01:39:35,73,139103,65,510.42
2025-09-04 01:39:37,72,139103,61,514.70
2025-09-04 01:39:38,61,139103,65,519.94
2025-09-04 01:39:40,73,139103,61,510.69
2025-09-04 01:39:42,73,139103,65,513.92
2025-09-04 01:39:44,75,139103,63,516.36
2025-09-04 01:39:46,70,139103,65,520.88
2025-09-04 01:39:48,75,139103,64,522.63
2025-09-04 01:39:50,74,139103,64,523.46
2025-09-04 01:39:52,75,139103,63,507.12
2025-09-04 01:39:54,74,139103,64,507.23
2025-09-04 01:39:56,74,139103,62,521.60
2025-09-04 01:39:58,74,139103,64,504.19
2025-09-04 01:40:00,73,139103,61,509.38
2025-09-04 01:40:02,76,139103,64,510.49
2025-09-04 01:40:04,73,139103,65,501.31
2025-09-04 01:40:06,74,139103,65,515.36
2025-09-04 01:40:07,73,139103,65,512.80
2025-09-04 01:40:09,74,139103,66,516.90
2025-09-04 01:40:11,73,139103,65,531.61
2025-09-04 01:40:13,74,139103,66,524.48
2025-09-04 01:40:15,75,139103,64,515.06
2025-09-04 01:40:17,74,139103,67,528.65
2025-09-04 01:40:19,69,139103,66,505.34
2025-09-04 01:40:21,74,139103,65,516.43
2025-09-04 01:40:23,74,139103,65,509.48
2025-09-04 01:40:25,75,139103,63,524.51
2025-09-04 01:40:27,73,139103,63,505.23
2025-09-04 01:40:29,73,139103,66,517.45
2025-09-04 01:40:31,76,139103,65,508.01
2025-09-04 01:40:32,75,139103,66,516.44
2025-09-04 01:40:34,60,139103,67,524.74
2025-09-04 01:40:36,74,139103,67,528.63
2025-09-04 01:40:38,75,139103,66,519.18
2025-09-04 01:40:40,73,139103,64,520.53
2025-09-04 01:40:42,74,139103,67,512.29
2025-09-04 01:40:44,74,139103,64,518.37
2025-09-04 01:40:46,75,139103,66,505.42
2025-09-04 01:40:48,76,139103,65,513.00
2025-09-04 01:40:50,74,139103,67,511.81
2025-09-04 01:40:52,64,139103,64,520.46
2025-09-04 01:40:54,75,139103,67,527.31
2025-09-04 01:40:56,71,139103,64,531.27
2025-09-04 01:40:58,74,139103,66,505.79
2025-09-04 01:41:00,75,139103,66,518.30
2025-09-04 01:41:01,73,139103,67,525.85
2025-09-04 01:41:03,74,139103,65,518.11
2025-09-04 01:41:05,74,139103,64,530.24
2025-09-04 01:41:07,59,139103,66,527.07
2025-09-04 01:41:09,73,139103,64,527.96
2025-09-04 01:41:11,100,139103,71,654.82
2025-09-04 01:41:13,100,139103,71,661.96
2025-09-04 01:41:15,100,139103,71,653.04
2025-09-04 01:41:17,80,139103,69,621.83
2025-09-04 01:41:19,67,139103,68,531.92
2025-09-04 01:41:21,100,139103,70,658.77
2025-09-04 01:41:23,100,139103,71,623.27
2025-09-04 01:41:25,100,139103,72,660.16
2025-09-04 01:41:27,76,139103,72,660.35
2025-09-04 01:41:28,100,139103,73,660.15
2025-09-04 01:41:30,100,139103,71,650.51
2025-09-04 01:41:32,100,139103,72,665.60
2025-09-04 01:41:34,100,139103,73,653.11
2025-09-04 01:41:36,100,139103,73,665.15
2025-09-04 01:41:38,100,139103,73,657.96
2025-09-04 01:41:40,100,139103,72,668.30
2025-09-04 01:41:42,100,139103,72,661.56
2025-09-04 01:41:44,100,139103,73,648.46
2025-09-04 01:41:46,100,139103,72,656.24
2025-09-04 01:41:48,100,139103,73,660.82
2025-09-04 01:41:50,100,139103,73,674.94
2025-09-04 01:41:52,97,139103,70,640.69
2025-09-04 01:41:54,59,139103,67,530.76
2025-09-04 01:41:56,96,139103,71,684.97
2025-09-04 01:41:58,86,139103,65,545.08
2025-09-04 01:41:59,93,139103,67,557.04
2025-09-04 01:42:01,90,139103,67,544.10
2025-09-04 01:42:03,92,139103,66,546.14
2025-09-04 01:42:05,92,139103,67,554.15
2025-09-04 01:42:07,83,139103,66,533.85
2025-09-04 01:42:09,93,139103,67,553.27
2025-09-04 01:42:11,76,139103,67,536.19
2025-09-04 01:42:13,93,139103,67,557.34
2025-09-04 01:42:15,79,139103,67,550.26
2025-09-04 01:42:17,89,139103,67,545.02
2025-09-04 01:42:19,90,139103,67,552.94
2025-09-04 01:42:21,87,139103,66,518.35
